CHN,China,Guangxi Xiafu Hydro,49,23.467,110.25,Hydro,200.9408627
CHN,China,Guangxi Xinglong Small,10,25.8788,110.1155,Hydro,41.00833932
CHN,China,Guangxi Yizhou Sancha,21,24.4811,108.8564,Hydro,86.11751257
CHN,China,Guangxi Youjiang Naji Dam,66,23.78,106.77,Hydro,270.6550395
CHN,China,Guangxi Yulin Darongshan Wind,25,22.8722,110.2332,Wind,76.52328793
CHN,China,Guangxi Ziyuan Jinzishan,49,26.1642,110.5211,Wind,149.9856443
CHN,China,Guangzhoao Dam,1040,25.96,105.25,Hydro,4264.867289
CHN,China,Guangzhou - Sinopec Coal,240,23.1196,113.47,Coal,1191.949332
CHN,China,Guangzhou Nansha,360,22.86,113.51,Gas,683.7638878
CHN,China,Guangzhou Pump Storage,2400,23.7657,113.9536,Hydro,9842.001436
CHN,China,Guangzhou Xingfeng Landfill,19,23.1052,113.194,Gas,36.08753852
CHN,China,Guangzhou Zhujiang,700,22.81,113.57,Gas,1329.540893
CHN,China,Guanmenyan,33,29.3132,110.4816,Hydro,135.3275198
CHN,China,Guanyinge Dam,19.5,41.3149,124.1499,Hydro,79.96626167
CHN,China,Guanyinyan,3000,26.52,101.44,Hydro,12302.5018
CHN,China,Datang Pingdu Xinhe,49,36.9971,119.5721,Wind,149.9856443
CHN,China,Gansu Baishuijiang Hengdan,25,32.8547,104.8564,Hydro,102.5208483
CHN,China,Feixian Coal,1300,35.3197,117.9042,Coal,6456.392212
CHN,China,Gucheng Heibaishuihe Tianshengqiao Hydro,6,27.1547,100.3927,Hydro,24.60500359
CHN,China,Guertu River Cascade Stage 3,13,44.3117,83.8517,Hydro,53.31084111
CHN,China,Guertu River Cascade Stage 4,20,44.3117,83.8517,Hydro,82.01667864
CHN,China,Guigang Coal,1200,23.1128,109.7656,Coal,5959.746658
CHN,China,Guihua Small,12,32.29,108.58,Hydro,49.21000718
CHN,China,Guilin Chongkou Landfill,1,25.2047,110.178,Gas,1.899344133
CHN,China,Guixi Coal,1800,28.2878,117.2231,Coal,8939.619986
CHN,China,Guizhou Beilei Hydro,8,25.75,108.6875,Hydro,32.80667145
CHN,China,Guizhou Dushan Heishen River Cascade,14,25.7661,107.5972,Hydro,57.41167505
CHN,China,Guizhou Hongguo Coal Mine Methane,6,25.8011,104.4617,Gas,11.3960648
CHN,China,Guizhou Huidong,50,25.38,106.3039,Hydro,205.0416966
CHN,China,Guizhou Jinqiao Coal Mine Methane,3,27.2832,106.4218,Gas,5.698032399
CHN,China,Guizhou Louxiahe Small,9,25.475,104.8842,Hydro,36.90750539
CHN,China,Guizhou Pan County Yingwudashan Smallscale Hydro,9,25.7694,104.8628,Hydro,36.90750539
CHN,China,Guizhou Qingshuihe Maojiahe,180,26.2719,104.5494,Hydro,738.1501077
CHN,China,Guizhou Qingshuitang Hydro,9,27.7614,109.1911,Hydro,36.90750539
CHN,China,Guizhou Tongzihe Yangjiayuan,40,28.1619,106.3747,Hydro,164.0333573
CHN,China,Guizhou Tongzihe Yuanmanguan,20,28.0749,106.459,Hydro,82.01667864
CHN,China,Cangzhou - Bohai Coal,700,38.3617,117.6248,Coal,3476.518884
CHN,China,Guohua Tongliao Kezuozhongqi Qiansijing,49,44.225,122.815,Wind,149.9856443
CHN,China,Heilongjiang Hulin Shiqingshan 1st Phase,45,45.8378,132.9553,Wind,137.7419183
CHN,China,Guizhou Xishui Jinyang,20,28.2344,106.3878,Hydro,82.01667864
CHN,China,Guizhou Yinlu First Stage (Yinwang),17,25.9803,104.9422,Hydro,69.71417684
CHN,China,Guizhou Zunyi Landfill,1,27.7203,106.8776,Gas,1.899344133
CHN,China,Gujiao 1-4 Coal,1800,37.8953,112.0924,Coal,8939.619986
CHN,China,Gujiao 5-6 Coal,1320,37.8915,112.0886,Coal,6555.721323
CHN,China,Guo'an Coal,640,33.8445,116.9357,Coal,3178.531551
CHN,China,Guodian Beipiao Taojiagou Wind,48,42.1347,120.6397,Wind,146.9247128
CHN,China,Guodian Huachuan Zhongfu,49,47.0222,131.0181,Wind,149.9856443
CHN,China,Guodian Jingbian Jishanliang Phase 2,49,37.2658,108.2806,Wind,149.9856443
CHN,China,Guodian Jingbian Jishanliang Phase 3,49,37.2536,108.3256,Wind,149.9856443
CHN,China,Guodian Juxian Wind Power Phase 1,48,35.9456,119.0247,Wind,146.9247128
CHN,China,Guodian Laoting Daqinghe Wind,49,39.2494,118.8306,Wind,149.9856443
CHN,China,Guodian Linghai Qingsong,49,40.9583,121.3653,Wind,149.9856443
CHN,China,Guodian Ningxia Pingluop Solar,10,38.9025,106.5514,Solar,96.87394356
CHN,China,Guodian Ningxia Qingtongxia Niushoushan Phase 1,49,37.7483,106.013,Wind,149.9856443
CHN,China,Guodian Ningxia Qingtongxia Niushoushan Phase 2,49,37.7922,106.0161,Wind,149.9856443
CHN,China,Guodian Ningxia Qingtongxia Niushoushan Phase 3,49,37.7108,106.029,Wind,149.9856443
CHN,China,Chongqing Liujiagou Hydro,20,31.4047,109.5194,Hydro,82.01667864
CHN,China,Guodian Ningxia Zhongwei,10,37.56,105.04,Solar,96.87394356
CHN,China,Guodian Penglai Hushan Phase 1,49,37.5828,120.7532,Wind,149.9856443
CHN,China,Guodian Power Youyu Gaojiapu Phase 2,49,39.7373,112.3946,Wind,149.9856443
CHN,China,Guodian Shaanxi Jingbian Jishanliang,49,37.2547,108.2519,Wind,149.9856443
CHN,China,Guodian Shanxi Jingle Suopo Wind,49,38.5864,112.2554,Wind,149.9856443
CHN,China,Guodian Shanxi Pinglubeishan Phase 1 Wind,49,39.5834,112.1334,Wind,149.9856443
CHN,China,Guodian Shanxi Youyu Caojiashan Phase 2 Wind,49,40.18,112.603,Wind,149.9856443
CHN,China,Guodian Shanxi Youyu Caojiashan Wind,49,40.18,112.563,Wind,149.9856443
CHN,China,Guodian Shuozhou Haifeng Liujiayao,49,39.6445,111.9681,Wind,149.9856443
CHN,China,Guodian Upc Kangping Haoguan Liaoning,49,42.6667,123.5,Wind,149.9856443
CHN,China,Guodian Weifang Binhai Phase 1,48,37.2321,119.1353,Wind,146.9247128
CHN,China,Guodian Weihai Shanmayu,49,37.281,121.708,Wind,149.9856443
CHN,China,Guodian Wuchuan Xiwulanbulang Hongshan Phase 1 Wind,49,41.2583,111.0583,Wind,149.9856443
CHN,China,Guodian Wuchuan Xiwulanbulang Hongshan Phase 2,49,41.2556,111.025,Wind,149.9856443
CHN,China,Guodian Wulian Yuli Wind Power Phase 1,49,35.812,118.9968,Wind,149.9856443
CHN,China,Guodian Youyu Laoqianshan Phase 1,49,40.175,112.5553,Wind,149.9856443
CHN,China,Guodian Zhaoyuan Xiadian Phase 1,49,37.1478,120.2458,Wind,149.9856443
CHN,China,Guofeng Coal,600,37.2264,111.7347,Coal,2979.873329
CHN,China,Guohua Binzhou Zhanhua (Phase 1),49,38.06,118.05,Wind,149.9856443
CHN,China,Guohua Chicheng Dushikou West,48,41.3017,115.6183,Wind,146.9247128
CHN,China,Guohua Chicheng Mayinggushan,49,41.325,115.688,Wind,149.9856443
CHN,China,Guohua Chicheng Motianling,49,40.933,115.563,Wind,149.9856443
CHN,China,Guohua Dalaidong Hulunbeier City,49,49.5242,117.1408,Wind,149.9856443
CHN,China,Guohua Dongying Guangrao Second Phase,49,37.3208,118.9583,Wind,149.9856443
CHN,China,Guohua Dongying Hekou (Phase 1),49,38.07,118.25,Wind,149.9856443
CHN,China,Guohua Dongying Hekou Phase 3,49,38.071,118.363,Wind,149.9856443
CHN,China,Guohua Dongying Hekou Phase 4,49,38.0665,118.3177,Wind,149.9856443
CHN,China,Guohua Dongying Lijin (Phase 1),49,37.37,118.12,Wind,149.9856443
CHN,China,Guohua Fuyu Youyi North,49,47.3006,124.0153,Wind,149.9856443
CHN,China,Guohua Guangrao (Phase 1),49,37.3188,118.8708,Wind,149.9856443
CHN,China,Guohua Guyuan Bayuan,100,41.298,115.943,Wind,306.0931517
CHN,China,Guohua Guyuan Pandaogou,48,41.342,115.865,Wind,146.9247128
CHN,China,Guohua Guyuan Xiaoerhao,49,41.461,115.85,Wind,149.9856443
